name,Scenario,State,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
prv_c,s0,Jammu_and_Kashmir,4.245769567116693e-4,3.147870583418352e-6,1.7396909295695398e-4,1.5669735793367518e-4,2.987475877563032e-4,4.0320760885686173e-4,5.219118347638726e-4,8.309761056906502e-4,3054.2913342503034,1.0009787615699957
prv_t_pub,s0,Jammu_and_Kashmir,3.367738619570725e-4,2.5811890941731278e-8,1.6826783819914385e-6,3.335046981599523e-4,3.3561438852843125e-4,3.3677331099488627e-4,3.379091457914589e-4,3.400689888884408e-4,4249.742219482844,1.0013976526728874
prv_t_eu,s0,Jammu_and_Kashmir,3.1788440049150074e-5,3.024084685368699e-7,1.9918238242408482e-5,2.8809813870917887e-6,1.553762958334584e-5,2.8969805258293538e-5,4.525609533214581e-5,7.558962409215114e-5,4338.243729166553,0.9992503392051623
prv_t_ei,s0,Jammu_and_Kashmir,1.2503710684486037e-4,3.0105027961164537e-6,1.4891309329780256e-4,2.1637700574235786e-5,4.688471195748245e-5,7.014864621157773e-5,1.3441573120261794e-4,5.998281167425612e-4,2446.739314864216,1.000164215303829
prv_t_pri,s0,Jammu_and_Kashmir,0.0011389016365088215,6.981902803810767e-5,0.0033239002493644348,6.393347812508642e-6,9.109254109542991e-5,2.8358956879328645e-4,8.703902114557489e-4,0.007960406288796013,2266.461608103396,1.0005689234244008
tbps_pub,s0,Jammu_and_Kashmir,3.367738619570725e-4,2.5811890941731278e-8,1.6826783819914385e-6,3.335046981599523e-4,3.3561438852843125e-4,3.3677331099488627e-4,3.379091457914589e-4,3.400689888884408e-4,4249.742219482844,1.0013976526728874
tbps_pri,s0,Jammu_and_Kashmir,0.0012957271834028318,7.116029078460567e-5,0.00339054374771101,8.78620040351425e-5,2.0281112959515043e-4,4.2607029090649157e-4,0.0010470950309526507,0.008200493895034675,2270.195594762887,1.000574720281827
prv[1],s0,Jammu_and_Kashmir,0.0019493728925592993,1.0585891888871742e-5,4.381620109363895e-4,0.0011947823314350146,0.001632130334403223,0.0019168073917295038,0.0022277263987322904,0.0028884195207630266,1713.2255144135572,1.0031485775789204
prv[2],s0,Jammu_and_Kashmir,0.0017677847294241711,9.603190899761749e-6,3.974188512656001e-4,0.0010835696798956926,0.0014802859378402118,0.0017385459497514277,0.002019250369946073,0.0026210578790084537,1712.6388955057946,1.0031382894929965
prv[3],s0,Jammu_and_Kashmir,0.0016031175475053415,8.711940225809742e-6,3.604924791209698e-4,9.834879880996762e-4,0.0013446866369156037,0.0015769847441636801,0.0018302831389724566,0.0023772731992075407,1712.2321332406664,1.0031275044562085
prv[4],s0,Jammu_and_Kashmir,0.0014537940796849574,7.903609135374262e-6,3.2702289435151044e-4,8.906915968944397e-4,0.0012192842089748935,0.0014303215664967666,0.0016607318062738712,0.0021606931691549947,1712.0064908080717,1.0031162239395321
nr_acf[1],s0,Jammu_and_Kashmir,2.3321471092516985e-5,7.77269500888466e-9,6.806010016509951e-7,2.2021709762021964e-5,2.286114159027122e-5,2.3322570858845673e-5,2.3779107015480977e-5,2.4655635335263776e-5,7667.290427962446,1.0000202365718047
nr_acf[2],s0,Jammu_and_Kashmir,2.297219185434201e-5,8.037436551917458e-9,6.659356414768906e-7,2.170467301341024e-5,2.2517147234450958e-5,2.2976506038448353e-5,2.341741962280373e-5,2.4277564631631853e-5,6864.823940070992,1.0003956878306797
nr_acf[3],s0,Jammu_and_Kashmir,2.2655460232287294e-5,8.512387609945666e-9,6.584214153548289e-7,2.138623825305857e-5,2.2200369710606663e-5,2.265448124603418e-5,2.3092325704579194e-5,2.3937162715215008e-5,5982.8086673504895,1.0007975527415385
nr_acf[4],s0,Jammu_and_Kashmir,2.236824228613034e-5,9.106596225857618e-9,6.565237341035749e-7,2.1111696905059338e-5,2.19162808336216e-5,2.2368316699374353e-5,2.2811088027958535e-5,2.3648241518020174e-5,5197.430611560968,1.0011977751979508
nr_pub[1],s0,Jammu_and_Kashmir,8.516017049483958e-4,7.253363019432678e-8,4.822523207739807e-6,8.41682220424454e-4,8.484916779057025e-4,8.516542090563585e-4,8.54942667207709e-4,8.606512658533541e-4,4420.484021469713,1.000722527811562
