State,p_txd_pub_m,p_txd_pub_l,p_txd_pub_u,p_txs_pub_m,p_txs_pub_l,p_txs_pub_u,p_txl_pub_m,p_txl_pub_l,p_txl_pub_u,p_txd_eng_m,p_txd_eng_l,p_txd_eng_u,p_txs_eng_m,p_txs_eng_l,p_txs_eng_u,p_txl_eng_m,p_txl_eng_l,p_txl_eng_u
Karnataka,0.0693656938044395,0.068367342614312,0.07037648405384105,0.8052460921242454,0.8036395360283285,0.8068412007209325,0.1253882140713152,0.12408768526015908,0.12670178391407672,0.03281860625954814,0.03131205490892081,0.03436098894720455,0.7031386781296504,0.69926266598417,0.706932230188896,0.26404271561080156,0.26040856588438027,0.2677602739992305
Kerala,0.06045147077374557,0.058746904211629584,0.06207999557132365,0.8544468104168844,0.8519390192902221,0.8569434292048878,0.08510171880937002,0.08314258589296103,0.08716715323723277,0.04456560947598357,0.041270518847409426,0.04789361711287376,0.7685765292670816,0.7617669959961919,0.7752001099932476,0.18685786125693482,0.1808108795467401,0.19283697926376236
Madhya_Pradesh,0.033974183138175976,0.033469275442150975,0.034467151417900355,0.8523659925725373,0.8513958510869716,0.853362826760873,0.11365982428928668,0.11277080888575276,0.11452423079103362,0.01781672340357075,0.01709281215515876,0.01856821873375636,0.6239472588054525,0.6211217511817598,0.6266144705114385,0.3582360177909767,0.3555845629501961,0.3610062565216972
Maharashtra,0.04539640610983573,0.04481999935115192,0.04598638087749264,0.8234438097455975,0.8223485867267294,0.8245000815387592,0.13115978414456675,0.13021474982798764,0.13212789600067798,0.024788053998671334,0.024181282947678597,0.025399105772621156,0.6435011027120822,0.6416625132150976,0.6453555975508921,0.3317108432892465,0.32991178675196114,0.33355251422723786
Manipur,0.029390864003594717,0.0255375208908163,0.03360474487163325,0.7476326439851099,0.737817328261781,0.7575558930219706,0.22297649201129546,0.21373956618036719,0.2322885074252092,0.014587533729010366,0.010269606816274222,0.019837555801355006,0.5838093164918801,0.5648610546269448,0.6032063586616485,0.40160314977910955,0.3816680393512628,0.4204302049025473
Meghalaya,0.040679695140233306,0.03753057156485864,0.04397325713398768,0.7715062777010085,0.7647457246090326,0.7781925396739118,0.1878140271587581,0.18176890915540558,0.19419539167998365,0.006068872179893326,0.003238166440406596,0.009854160618612773,0.5150936398509787,0.4944637952495171,0.5360853570221547,0.47883748796912795,0.4580499444146574,0.49874112592899467
Nagaland,0.022049533087152816,0.01955899663619951,0.02474671011839024,0.8251884267334028,0.8186411822700411,0.8317806293272028,0.15276204017944445,0.14669659535481488,0.15886118720617562,0.02213369880257342,0.017038744368207907,0.02781944902982721,0.45933927169729893,0.4416343877513675,0.47646530882406857,0.5185270295001276,0.501607603548118,0.5358023767455533
Odisha,0.05005011132976237,0.04910163806435974,0.05104640155663488,0.7980998973665943,0.7963241234599355,0.7998703887154792,0.15184999130364332,0.1502435656076189,0.15345439793164578,0.019503355356486216,0.017247153111713993,0.021883172511450704,0.6635541058199338,0.6559508737066462,0.6712889574927918,0.31694253882358,0.3093265510400217,0.32452695448416
Punjab,0.046351364234801164,0.045269244328664526,0.04740955726677228,0.8319674588092127,0.8300969250008862,0.8338698016592044,0.12168117695598607,0.12001084411685728,0.12336013445201331,0.05147880985149688,0.04931404921024468,0.053735834231486854,0.6847614942957062,0.6800948109935174,0.6894265502578442,0.2637596958527969,0.2593952817930719,0.2681526305894371
Rajasthan,0.03458237673568124,0.034011788457187414,0.03516075104825245,0.825551616119553,0.8244020861005448,0.8267125334038428,0.1398660071447658,0.13878337933544665,0.1409441174100598,0.016557755475836804,0.015940078918608058,0.017201464670770213,0.6903921941675303,0.68806075048724,0.6926735370067755,0.2930500503566329,0.2908052802554649,0.2952970440682911
Tamil_Nadu,0.05412615844834447,0.05330745240171981,0.05494565773967552,0.8337065064215493,0.8322967786295692,0.835035759344709,0.11216733513010618,0.11102123387891775,0.11331700546153177,0.018766668271704777,0.017909810437650373,0.019641985788900064,0.7572941847317435,0.754474880394704,0.7600208776209916,0.2239391469965518,0.22124201713298672,0.2266594242506453
Telangana,0.03863243434735424,0.037659581925319985,0.03958310353344951,0.872950983783188,0.87132028364987,0.8745568312535831,0.08841658186945771,0.08707547874040088,0.08980830051295445,0.020570529937647176,0.019501632860818505,0.021701953501947945,0.9246696487122484,0.9225338182630223,0.9267384065300065,0.05475982135010436,0.05297725405773344,0.05655555263765246
Uttar_Pradesh,0.03617020398272752,0.035819816854144156,0.03652073628652973,0.801325163366762,0.8005737466437136,0.8020370925309193,0.16250463265051054,0.16183744558565505,0.16319824374675607,0.03243028509102383,0.03188298436316409,0.032982547599788144,0.6690464499908404,0.6675793210424897,0.6705298926017647,0.29852326491813574,0.297088235786626,0.2999723613839759
Uttarakhand,0.038686759865083305,0.03722888061615285,0.04019933363601608,0.8277407192583042,0.8247765934876826,0.8307440945315094,0.13357252087661256,0.1309653238963141,0.1362886554402443,0.017255324051233752,0.015420093148570435,0.019242491525960997,0.8405927941189725,0.8352927289667511,0.8458561327286588,0.14215188182979377,0.1372273755243426,0.1472746690095087
West_Bengal,0.05080370660239004,0.05004432116179009,0.05153431271418036,0.8437503203069456,0.8424686074337732,0.8449919449456847,0.10544597309066428,0.10440219318423063,0.10649872983633225,0.028123900855537357,0.026729432155674686,0.029559851041082726,0.6524329736963965,0.6483394153332624,0.6565338679784436,0.31944312544806613,0.3154416100177508,0.32339415380486125
